business_id,stakeholder_id,stakeholder_rate
,,
1.0,40.0,1.0
2.0,41.0,0.1671573248235134
2.0,21.0,0.6340448637316553
2.0,39.0,0.19879781144483125
3.0,47.0,0.03719333832198994
3.0,36.0,0.3503633891509826
3.0,43.0,0.13814882776976073
3.0,28.0,0.005468104903595317
3.0,8.0,0.46882633985367145
4.0,7.0,0.10797388281087218
4.0,29.0,0.11826115607166496
4.0,6.0,0.06396232099464146
4.0,0.0,0.054023350527672015
4.0,32.0,0.6557792895951492
5.0,48.0,0.16588507716390324
5.0,25.0,0.5711617516160733
5.0,19.0,0.2629531712200235
6.0,46.0,0.9100318025266408
6.0,3.0,0.08996819747335921
7.0,29.0,0.3812557421071822
7.0,32.0,0.1045358434528153
7.0,40.0,0.11254742466288142
7.0,37.0,0.23336582365589614
7.0,20.0,0.16829516612122503
8.0,43.0,0.44336313222444185
8.0,38.0,0.26725221494312823
8.0,9.0,0.2893846528324298
9.0,20.0,1.0
10.0,15.0,0.003537009308879396
10.0,40.0,0.5716236712233748
10.0,36.0,0.16432543826393997
10.0,9.0,0.2605138812038061
11.0,8.0,0.6315172709799968
11.0,35.0,0.044257170297150934
11.0,46.0,0.2549300402658601
11.0,33.0,0.0692955184569924
12.0,8.0,0.5327374626708472
12.0,36.0,0.014021841007184491
12.0,40.0,0.09499442308168653
12.0,43.0,0.35824627324028163
13.0,31.0,0.3055965226194298
13.0,10.0,0.6944034773805703
14.0,27.0,0.723530450604739
14.0,45.0,0.276469549395261
15.0,29.0,0.1226015328981325
15.0,2.0,0.00011712826539530563
15.0,46.0,0.22179099805780564
15.0,39.0,0.3038365137437919
15.0,41.0,0.3516538270348748
16.0,7.0,0.01563623662900677
16.0,22.0,0.2831569782151327
16.0,41.0,0.7012067851558605
17.0,15.0,0.1329787487370845
17.0,23.0,0.4468133343032814
17.0,28.0,0.25962543775434443
17.0,11.0,0.023252071873795927
17.0,4.0,0.1373304073314936
18.0,18.0,1.0
19.0,25.0,0.01026902472788825
19.0,9.0,0.9897309752721118
20.0,11.0,0.20303389250364254
20.0,48.0,0.3408002618751505
20.0,37.0,0.33292664763929763
20.0,23.0,0.0915143531091978
20.0,5.0,0.03172484487271142
21.0,4.0,0.6748652996474604
21.0,37.0,0.027827205651860067
21.0,24.0,0.04674119580422614
21.0,39.0,0.25056629889645343
22.0,44.0,0.17200044439245102
22.0,21.0,0.8279995556075491
23.0,17.0,0.16117231291648676
23.0,11.0,0.6782660894229806
23.0,24.0,0.16056159766053288
24.0,46.0,0.7088688083175982
